Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),Unnamed: 32
2025-07-08,12:09:15.149,0.0001269733475055,-38.967175801595054,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,189.2105407714844,76.68412017822266,11.11913776397705,-1.057724952697754,0,10,0,0,2025-07-08T16:09:15.149Z,189.4900054931641,76.33000183105469,0.3600000143051147,-0.3600000143051147,
2025-07-08,12:09:22.382,0.0001284804020542,-38.932281494140625,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,189.32699584960935,76.6802749633789,11.118993759155272,-1.0578689575195312,0,10,0,0,2025-07-08T16:09:22.382Z,189.82000732421875,76.31999969482422,0.5400000214576721,-0.3600000143051147,
2025-07-08,12:09:36.866,0.00014620195725,-38.35751088460287,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,189.5597381591797,76.67243194580078,11.118708610534668,-1.0581541061401367,0,10,0,0,2025-07-08T16:09:36.866Z,190.0800018310547,76.48999786376953,0.5400000214576721,-0.1800000071525573,
2025-07-08,12:09:51.354,0.0001604442804818,-37.94589106241862,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,189.8088226318359,76.663818359375,11.118402481079102,-1.0584602355957031,0,10,0,0,2025-07-08T16:09:51.354Z,190.32000732421875,76.66999816894531,0.5400000214576721,0.0,
2025-07-08,12:10:06.778,0.0001436559396097,-38.40820058186849,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,190.05758666992188,76.65499114990234,11.118096351623535,-1.0587663650512695,0,10,0,0,2025-07-08T16:10:06.778Z,190.6000061035156,76.83999633789062,0.5400000214576721,0.1800000071525573,
2025-07-08,12:10:23.254,0.0001273417728953,-38.96390024820963,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,190.3391571044922,76.64471435546875,11.117749214172363,-1.0591135025024414,0,10,0,0,2025-07-08T16:10:23.254Z,190.83999633789065,77.01000213623047,0.5400000214576721,0.3600000143051147,
2025-07-08,12:10:38.779,0.0001234608789673,-39.08350372314453,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,190.58724975585935,76.63542175292969,11.117444038391112,-1.0594186782836914,0,10,0,0,2025-07-08T16:10:38.779Z,191.1000061035156,77.18000030517578,0.5400000214576721,0.5400000214576721,
2025-07-08,12:10:52.319,0.0001235111558344,-39.0698496500651,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,190.81851196289065,76.62654876708984,11.117157936096191,-1.0597047805786133,0,10,0,0,2025-07-08T16:10:52.319Z,191.13999938964844,77.16999816894531,0.3600000143051147,0.5400000214576721,
2025-07-08,12:11:06.781,0.0001231745118275,-39.09439214070638,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,191.04949951171875,76.61748504638672,11.116872787475586,-1.0599899291992188,0,10,0,0,2025-07-08T16:11:06.781Z,191.1999969482422,77.16000366210938,0.1800000071525573,0.5400000214576721,
2025-07-08,12:11:21.227,0.0001237038959516,-39.0957883199056,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,191.2966461181641,76.6075668334961,11.11656665802002,-1.0602960586547852,0,10,0,0,2025-07-08T16:11:21.227Z,191.2599945068359,77.1500015258789,0.0,0.5400000214576721,
